Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
9H-QAR,IE,41.833004,13.035725,11582,337,716,5FL,RYR5FL,FR1088,LICC,CTA,LIPE,BLQ,RYR,FR,B738,1688586760,en-route
9H-QEN,IE,46.798096,16.752342,10972,300,800,5951,RYR5951,FR5951,LBSF,SOF,EDSB,FKB,RYR,FR,B738,1688586762,en-route
9H-QCJ,IE,50.054855,14.16781,1562,153,457,6EK,RYR6EK,FR3975,LKPR,PRG,LIBD,BRI,RYR,FR,B738,1688586758,en-route
9H-QCT,IE,51.412445,13.549706,6987,16,746,56,RYR56,FR7348,LIME,BGY,EDDB,BER,RYR,FR,B738,1688586760,en-route
9H-QEO,IE,40.186844,15.750793,8732,209,907,6191,RYR6191,FR6191,LIBD,BRI,LICC,CTA,RYR,FR,B738,1688586761,en-route
9H-QDB,IE,55.163006,6.23832,11582,227,800,37KA,RYR37KA,FR4718,ESSA,ARN,EGSS,STN,RYR,FR,B738,1688586759,en-route
9H-QAO,IE,41.134674,2.062184,1920,147,492,7B,RYR7B,FR6973,LEBL,BCN,LIRF,FCO,RYR,FR,B738,1688586760,en-route
9H-QBX,IE,44.794518,16.343302,10668,94,855,91PV,RYR91PV,FR3990,LIPE,BLQ,LROP,OTP,RYR,FR,B738,1688586760,en-route
9H-QBY,IE,45.538982,10.222309,11277,308,731,58C,RYR58C,FR6977,LGKR,CFU,EDSB,FKB,RYR,FR,B738,1688586762,en-route
9H-QDC,IE,37.486469,15.220184,1455,79,427,1FP,RYR1FP,FR375,LICC,CTA,LIEE,CAG,RYR,FR,B738,1688586759,en-route
9H-QDT,IE,41.367157,13.92205,9921,103,894,4UQ,RYR4UQ,FR5842,LIRF,FCO,LIBR,BDS,RYR,FR,B738,1688586761,en-route
9H-QAQ,IE,47.791969,8.776879,10363,35,848,3GM,RYR3GM,FR7928,LEPA,PMI,EDDN,NUE,RYR,FR,B738,1688586761,en-route
9H-QCN,IE,46.683098,12.112839,11582,28,864,87QD,RYR87QD,FR133,LEBL,BCN,EDDB,BER,RYR,FR,B738,1688586760,en-route
9H-QBI,IE,54.383118,17.478748,11582,352,896,9HA,RYR9HA,FR7604,LHBP,BUD,ESSA,ARN,RYR,FR,B738,1688586760,en-route
9H-QCG,IE,40.361343,13.77655,10363,331,705,4WC,RYR4WC,FR8269,LICC,CTA,LIRP,PSA,RYR,FR,B738,1688586761,en-route
9H-QCQ,IE,40.696617,17.900099,198,136,300,66ZJ,RYR66ZJ,FR4338,LIPE,BLQ,LIBR,BDS,RYR,FR,B738,1688586657,en-route
