Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
7T-VJV,DZ,41.311111,-4.9245,11887,128,861,2703,DAH2703,AH2703,CYUL,YUL,DAAG,ALG,DAH,AH,A332,1687905488,en-route
7T-VJZ,DZ,47.062263,-65.374924,10668,81,944,2701,DAH2701,AH2701,CYUL,YUL,DAAG,ALG,DAH,AH,A332,1687905483,en-route
7T-VCO,DZ,33.872223,0.944992,7620,20,622,1662,DTH1662,,,,,,DTH,SF,DH8D,1687905480,en-route
7T-VKI,DZ,36.462505,0.042192,5905,172,692,1083,DAH1083,AH1083,LFPG,CDG,DAOO,ORN,DAH,AH,B738,1687905486,en-route
7T-VJA,DZ,36.193386,10.34842,11894,99,931,4062,DAH4062,AH4062,DAAG,ALG,OMDB,DXB,DAH,AH,A332,1687905483,en-route
7T-VKM,DZ,37.91959,14.265687,10668,68,868,3018,DAH3018,AH3018,DAAG,ALG,LTFM,IST,DAH,AH,B738,1687905485,en-route
7T-VKN,DZ,35.671768,-0.573276,1775,66,518,6101,DAH6101,AH6101,DAOO,ORN,DAAG,ALG,DAH,AH,B738,1687905416,en-route
7T-VKO,DZ,39.029251,3.114982,11277,178,872,1331,DAH1331,AH1331,LFPG,CDG,DAAG,ALG,DAH,AH,B738,1687905488,en-route
7T-VKQ,DZ,51.584534,20.895004,11582,25,866,3000,DAH3000,AH3000,DAAG,ALG,UUEE,SVO,DAH,AH,B738,1687905488,en-route
C6-BFV,BS,25.659714,-77.930809,3352,145,511,326,BHS326,UP326,MYGF,FPO,MYNN,NAS,BHS,UP,AT46,1687905477,en-route
FAC5077,CO,4.767471,-74.527344,4373,171,320,,,,SKBO,BOG,SKCG,CTG,FAC,,B350,1687905485,en-route
HK-5139,CO,-5.884918,-75.928841,10668,11,827,5139,ACL5139,JK5139,SPJC,LIM,SLVR,VVI,ACL,JK,B734,1687905484,en-route
HK-5293,CO,4.996871,-74.513016,4404,131,437,7839,EFY7839,VE7839,SKMZ,MZL,SKBO,BOG,EFY,VE,AT76,1687905485,en-route
HK-5347,CO,4.71167,-74.090446,3025,19,307,9026,EFY9026,VE9026,SKBO,BOG,SKYP,EYP,EFY,VE,AT76,1687905485,en-route
HK-5349,CO,4.448299,-74.395813,4533,211,396,9046,EFY9046,VE9046,SKBO,BOG,SKNV,NVA,EFY,VE,AT46,1687905483,en-route
HK-2596,AU,12.263163,-80.444885,5806,100,362,,,,SKSP,ADZ,,,,HK,BE9L,1687905389,en-route
HK-5391,CO,6.646957,-75.518532,4244,353,425,9144,EFY9144,VE9144,SKMD,EOH,SKMR,MTR,EFY,VE,AT46,1687905314,en-route
HK-5385,CO,4.694572,-74.13195,0,247,5,346,LAU346,4L346,SKBO,BOG,,,LAU,4L,B734,1687905480,en-route
HK-3308-G,AU,4.96582,-74.012337,3596,27,196,,,,SKBO,BOG,,,,HK,T206,1687905485,en-route
EJC-1117,MX,6.336225,-75.473755,2697,305,379,,,,SKBO,BOG,,,EJC,,BE20,1687905440,en-route
HK-5409,CO,16.761133,-70.010475,10980,224,827,253,AVA253,AV253,MDPC,PUJ,SKBO,BOG,AVA,AV,A20N,1687905482,en-route
HK-5424,CO,5.151169,-74.69088,4953,101,575,9343,AVA9343,AV9343,SKRG,MDE,SKBO,BOG,AVA,AV,A320,1687905485,en-route
TI-BKC,IT,9.995196,-84.208618,0,70,25,429,GRA429,GW429,MRTR,TMU,MROC,SJO,CRG,GW,C208,1687905483,en-route
HP-1520CMP,PA,9.996243,-84.205215,0,70,1,116,CMP116,CM116,MPTO,PTY,MROC,SJO,CMP,CM,B737,1687905481,landed
HP-1538CMP,PA,8.93248,-67.474167,10972,277,816,319,CMP319,CM319,SMJP,PBM,MPTO,PTY,CMP,CM,B738,1687905486,en-route
HP-1714CMP,CO,13.882004,-82.264534,12496,151,863,7429,RPB7429,P57429,MMUN,CUN,SKCL,CLO,RPB,P5,B738,1687905488,en-route
HP-1719CMP,PA,17.543793,-93.670105,11277,121,803,135,CMP135,CM135,MMMX,MEX,MPTO,PTY,CMP,CM,B738,1687905431,en-route
HP-1821CMP,PA,4.0223,-74.800034,10668,122,820,205,CMP205,CM205,MPTO,PTY,SBBR,BSB,CMP,CM,B738,1687905484,en-route
HP-1831CMP,PA,-8.676313,-78.462318,10972,346,838,132,CMP132,CM132,SPJC,LIM,MPTO,PTY,CMP,CM,B738,1687905131,en-route
HP-1838CMP,PA,39.005466,-74.459045,10363,221,816,812,CMP812,CM812,KJFK,JFK,MPTO,PTY,CMP,CM,B738,1687905485,en-route
HP-1843CMP,PA,9.318878,-80.891869,6446,117,657,121,CMP121,CM121,MMMX,MEX,MPTO,PTY,CMP,CM,B738,1687904990,en-route
HP-1845CMP,PA,22.417929,-81.952568,11277,196,861,891,CMP891,CM891,KATL,ATL,MPTO,PTY,CMP,CM,B738,1687905483,en-route
HP-1847CMP,PA,22.670753,-81.747742,10668,230,857,266,CMP266,CM266,KFLL,FLL,MPTO,PTY,CMP,CM,B738,1687905483,en-route
HP-1848CMP,PA,15.981569,-83.455925,11277,150,868,347,CMP347,CM347,MMUN,CUN,MPTO,PTY,CMP,CM,B738,1687905479,en-route
HP-9902CMP,PA,3.188363,-73.751839,10668,128,825,725,CMP725,CM725,MPTO,PTY,SBGR,GRU,CMP,CM,B39M,1687904241,en-route
HP-9911CMP,PA,-24.21167,-61.260326,11277,149,848,125,CMP125,CM125,MPTO,PTY,SUMU,MVD,CMP,CM,B39M,1687905478,en-route
HP-9913CMP,PA,16.987106,-70.970139,10363,239,827,351,CMP351,CM351,MDPC,PUJ,MPTO,PTY,CMP,CM,B39M,1687904495,en-route
HP-9915CMP,PA,14.803798,-82.731873,11887,153,861,271,CMP271,CM271,MMUN,CUN,MPTO,PTY,CMP,CM,B39M,1687905476,en-route
HP-9922CMP,PA,-17.119026,-54.169415,11277,133,848,701,CMP701,CM701,MPTO,PTY,SBGR,GRU,CMP,CM,B39M,1687905484,en-route
HP-9923CMP,PA,27.86554,-81.559753,4503,171,733,445,CMP445,CM445,KMCO,MCO,MPTO,PTY,CMP,CM,B39M,1687905486,en-route
HI935,US,18.544144,-68.544342,754,81,157,,,,MDJB,JBQ,,,,HI,P28A,1687905444,en-route
HI1026,DO,18.024839,-71.256493,8618,255,788,4340,DWI4340,DM4340,MDSD,SDQ,MMSM,NLU,DWI,DM,B38M,1687905483,en-route
HI1027,DO,18.198759,-70.818619,8199,260,764,4122,DWI4122,DM4122,MDSD,SDQ,MGGT,GUA,DWI,DM,B38M,1687905479,en-route
HI1081,DO,18.103912,-71.06675,9090,266,731,4452,DWI4452,DM4452,MDSD,SDQ,MSLP,SAL,DWI,DM,B38M,1687905482,en-route
HI1090,DO,13.924193,-68.024788,9448,164,887,710,SHH710,DO710,MDSD,SDQ,SVMI,CCS,SHH,DO,E190,1687905479,en-route
XA-VOC,MX,21.104141,-90.60939,11597,302,888,213,VOI213,Y4213,MMUN,CUN,MMMY,MTY,VOI,Y4,A319,1687905484,en-route
XA-ZAM,MX,25.775436,-80.565186,1059,87,361,422,AMX422,AM422,MMMX,MEX,KMIA,MIA,AMX,AM,B738,1687905483,en-route
XA-BEG,MX,47.252056,-120.11972,12192,296,870,,,,MMAN,NTR,,,,,F900,1687905486,en-route
XA-ACN,MX,21.61602,-101.737213,11277,126,833,2469,SLI2469,AM2469,MMDO,DGO,MMMX,MEX,SLI,AM,E190,1687905485,en-route
XA-ACT,MX,25.3584,-99.222298,10668,352,800,2686,SLI2686,5D2686,MMMX,MEX,KAUS,AUS,SLI,5D,E190,1687905483,en-route
